Row,Column,Sum of Cell Sizes [µm²],Living Cells [#],TC-BF [#],Process Duration [ms],Processed Area [%],Sample Volume [µl],CD [#/ml],Avg Cell Size [µm²],Viability [%]
A,1,214891.8728,10000,1013,34852,45.20091592,0,0,212.1341291,72.95162883
B,1,328807.5548,10005,1177,25330,45.2009117,0,0,279.3607092,97.28122345
C,1,304989.1153,10010,1206,24772,45.20091732,0,0,252.8931304,97.26368159
D,1,347267.3845,10000,1321,24735,45.20091732,0,0,262.8821987,97.80469341
E,1,375414.1622,10000,1467,24500,45.20090607,0,0,255.906041,97.47784594
F,1,359672.5721,10010,1326,25235,45.20090607,0,0,271.2462836,97.81297134
A,2,1131549.583,10000,5082,31870,45.20092154,0,0,222.6583201,98.97678079
B,2,1117144.95,10005,4820,31161,45.20091732,0,0,231.7728111,99.00414938
C,2,1112997.508,10010,4897,29833,45.20092295,0,0,227.2815005,98.95854605
D,2,1313699.188,10000,5725,32224,45.20092295,0,0,229.467107,99.10917031
E,2,1089121.565,10000,4764,29876,45.2009117,0,0,228.6149381,98.80352645
F,2,1091283.937,10010,5007,29460,45.2009117,0,0,217.9516551,99.02137008
A,3,2606812.113,10000,12117,40101,45.20091592,0,0,215.1367594,99.43880498
B,3,2716458.159,10005,12375,46822,45.2009117,0,0,219.5117704,99.41010101
C,3,2647437.156,10010,12261,40493,45.20091732,0,0,215.9234284,99.33121279
D,3,2468998.925,10000,11219,42957,45.20091732,0,0,220.0729944,99.44736608
E,3,2409173.694,10000,11280,44656,45.20090607,0,0,213.5792282,99.36170213
F,3,2074536.72,10010,10091,37708,45.20090607,0,0,205.5828679,99.20721435
A,4,1006614.788,10000,4580,31290,45.20091592,0,0,219.7848881,96.39737991
B,4,1179567.423,10005,5323,33721,45.2009117,0,0,221.5982383,96.86267143
C,4,1187349.566,10010,5388,32974,45.20091732,0,0,220.3692588,96.73348181
D,4,1138538.657,10000,5141,32429,45.20091732,0,0,221.4624892,96.90721649
E,4,976080.4157,10000,4469,29926,45.20090607,0,0,218.4113707,96.64354442
F,4,932895.268,10010,4486,31496,45.20090607,0,0,207.957037,95.54168524
A,5,484669.6626,10000,2180,26606,45.20092717,0,0,222.3255333,98.89908257
B,5,464224.7634,10005,2037,25459,45.20092295,0,0,227.8963001,98.67452135
C,5,520882.5078,10010,2292,27109,45.20092857,0,0,227.2611291,98.73472949
D,5,452377.8391,10000,2007,26357,45.20092857,0,0,225.4000195,98.35575486
E,5,410613.5077,10000,1827,25563,45.20091732,0,0,224.7474043,98.46743295
F,5,409265.7689,10010,1849,26902,45.20091732,0,0,221.3443855,97.72850189
A,6,398677.9322,10000,2111,27036,45.20092717,0,0,188.8573814,98.38938892
B,6,341697.9284,10005,1777,25751,45.20092295,0,0,192.2892113,98.48058526
C,6,367310.9571,10010,1881,26213,45.20092857,0,0,195.2742993,98.24561404
D,6,368465.8195,10000,1900,25860,45.20092857,0,0,193.9293787,98.31578947
E,6,333254.4941,10000,1738,26584,45.20091732,0,0,191.745969,98.33141542
F,6,325060.2417,10010,1603,26559,45.20091732,0,0,202.782434,98.19089208
A,7,274109.7221,10000,1229,27351,45.20090466,0,0,223.0347617,97.47762408
B,7,218261.819,10005,1070,24751,45.20090044,0,0,203.9830084,97.47663551
C,7,241849.0463,10010,1159,24620,45.20090607,0,0,208.6704455,97.49784297
D,7,240011.3295,10000,1151,25467,45.20090607,0,0,208.5241785,97.65421373
E,7,230287.2437,10000,1116,34942,45.20089482,0,0,206.3505768,97.40143369
F,7,253135.3112,10010,1228,23922,45.20089482,0,0,206.1362469,97.55700326
A,8,189762.8321,10000,1080,23483,45.20090466,0,0,175.706326,95.37037037
B,8,207971.0839,10005,1111,23514,45.20090044,0,0,187.1926948,95.76957696
C,8,232713.1737,10010,1287,24337,45.20090607,0,0,180.8183168,96.27039627
D,8,234247.7991,10000,1290,24251,45.20090607,0,0,181.5874411,95.03875969
E,8,225690.5557,10000,1185,24876,45.20089482,0,0,190.4561651,96.28691983
F,8,199758.8616,10010,1107,23820,45.20089482,0,0,180.4506429,96.02529359
